"country","year","gdp","population","gdp_per_capita","gini"
Czech Republic,2000,152688350008.684,10255063,14889.07,
Denmark,2000,298220921608.043,5339616.0,55850.63,23.8
Estonia,2000,898555070.886312,1396985.0,643.21,
Faroe Islands,2000,,46738.0,,
Finland,2000,209339466449.934,5176209.0,40442.62,27.2
France,2000,2335800696315.34,60912500,38346.82,31.1
Germany,2000,3121691279617,82211508,37971.46,28.8
Gibraltar,2000,,31081.0,,
Greece,2000,249630880309.085,10805808,23101.55,34.2
Hungary,2000,107011783045.671,10210971,10480.08,
Iceland,2000,10639976864.4727,281205.0,37837.08,
Ireland,2000,167889828773.098,3805174.0,44121.46,33.0
Italy,2000,2070682364290.87,56942108,36364.69,35.3
Latvia,2000,23462863080.0846,2367550.0,9910.19,
Liechtenstein,2000,,33184.0,,
Lithuania,2000,7028356472.96767,3499536.0,2008.37,
Luxembourg,2000,40817660716.508,436300.0,93554.12,30.4
Malta,2000,7110352033.00746,390087.0,18227.61,
Moldova,2000,4229636600.29266,2923783.0,1446.63,36.4
Monaco,2000,4462968314.99403,32148.0,138825.69,
Montenegro,2000,2997411926.88696,604950.0,4954.81,
Netherlands,2000,740226130632.733,15925513,46480.52,
North Macedonia,2000,7021546709.10223,2034823.0,3450.69,
Norway,2000,366702477304.826,4490967.0,81653.34,27.4
Poland,2000,326937286505.489,38258629,8545.45,
Portugal,2000,221422913303.857,10289898,21518.48,
Romania,2000,109952094351.041,22442971,4899.18,
Russian Federation,2000,951570864960.202,146596869,6491.07,37.1
San Marino,2000,1702450124.85211,27460.0,61997.46,
Serbia,2000,26442039540.6366,7516346.0,3517.94,
Slovakia,2000,55669340110.9048,5388720.0,10330.72,
Slovenia,2000,36877133618.0695,1988925.0,18541.24,
Spain,2000,1153609062039.34,40567864,28436.52,34.3
Sweden,2000,398727398165.564,8872109.0,44941.67,27.2
Switzerland,2000,499902423278.636,7184250.0,69583.11,33.4
Ukraine,2000,89401541680.6853,49176500,1817.97,
United Kingdom,2000,2117744535140.26,58892514,35959.49,38.4
Albania,2001,7508515182.79876,3060173.0,2453.62,
Andorra,2001,2854792522.86889,67344.0,42391.19,
Austria,2001,341091906904.391,8042293.0,42412.27,
Belarus,2001,29352914216.1911,9928549.0,2956.42,30.6
Belgium,2001,410695541666.438,10286570,39925.41,
Bosnia and Herzegovina,2001,11807660368.5842,3755514.0,3144.09,30.0
Bulgaria,2001,33798124235.1857,8009142.0,4219.94,
Croatia,2001,48059002801.748,4299642.0,11177.44,
Czech Republic,2001,157334620713.224,10216605,15399.89,
Denmark,2001,300675736064.966,5358783.0,56108.96,
Estonia,2001,952285075.881869,1388115.0,686.03,
Faroe Islands,2001,,46999.0,,
Finland,2001,214803266558.191,5188008.0,41403.80,
France,2001,2382136475024.72,61357432,38823.93,
Germany,2001,3174181534556.98,82349925,38545.04,30.3
Gibraltar,2001,,31604.0,,
Greece,2001,259944659657.605,10862132,23931.27,
Hungary,2001,111371542205.075,10187576,10932.09,
Iceland,2001,11067012075.7528,284968.0,38835.98,
Ireland,2001,176805103461.172,3866243.0,45730.47,
Italy,2001,2111089070963.84,56974100,37053.49,
Latvia,2001,24946375649.8431,2337170.0,10673.75,
Liechtenstein,2001,,33543.0,,
Lithuania,2001,7487034670.44861,3470818.0,2157.14,
Luxembourg,2001,41851153604.5882,441525.0,94787.73,
Malta,2001,7026826916.21676,393028.0,17878.69,
Moldova,2001,4487644450.3731,2917252.0,1538.31,38.0
Monaco,2001,4560606124.884,32474.0,140438.69,
Montenegro,2001,3030378743.71352,607389.0,4989.19,
Netherlands,2001,757450860234.74,16046180,47204.43,
North Macedonia,2001,6806177852.52376,2042844.0,3331.72,
Norway,2001,374310785078.08,4513751.0,82926.77,
Poland,2001,331051702981.461,38248076,8655.38,
Portugal,2001,225726649126.408,10362722,21782.56,
Romania,2001,115689544451.415,22131970,5227.26,
Russian Federation,2001,1000101466517.97,145976482,6851.11,36.9
San Marino,2001,1797418630.58627,27818.0,64613.51,
Serbia,2001,28260927883.9268,7503433.0,3766.40,
Slovakia,2001,57480699484.5939,5378867.0,10686.40,
Slovenia,2001,38063308870.5395,1992060.0,19107.51,
Spain,2001,1198979916301.37,40850412,29350.50,
Sweden,2001,404506946291.441,8895960.0,45470.86,
Switzerland,2001,507779971959.633,7229854.0,70233.78,
Ukraine,2001,97629786737.4097,48662400,2006.27,
United Kingdom,2001,2175566069186.13,59119673,36799.36,37.3
Albania,2002,7849398816.77983,3051010.0,2572.72,31.7
Andorra,2002,2984581731.4066,70048.0,42607.67,
Austria,2002,346725223670.04,8081957.0,42901.15,
Belarus,2002,30833847251.5793,9865548.0,3125.41,30.3
Belgium,2002,417705640556.509,10332785,40425.27,
Bosnia and Herzegovina,2002,12433466463.9814,3759389.0,3307.31,
Bulgaria,2002,35810138200.2256,7837161.0,4569.27,
Croatia,2002,50787868293.8868,4302174.0,11805.16,
Czech Republic,2002,159804546639.628,10196916,15671.85,26.6
Denmark,2002,302077924044.662,5375931.0,56190.81,
Estonia,2002,1017063247.49321,1379350.0,737.35,
Faroe Islands,2002,,47235.0,,
Finland,2002,218470278293.54,5200598.0,42008.68,
France,2002,2409186384646.31,61805266,38980.28,
Germany,2002,3167897485650.41,82488495,38404.11,29.9
Gibraltar,2002,,32097.0,,
Greece,2002,270141955662.615,10902022,24779.07,
Hungary,2002,116651982722.029,10158608,11483.07,
Iceland,2002,11128934120.1247,287523.0,38706.24,
Ireland,2002,187236160688.21,3931947.0,47619.20,32.3
Italy,2002,2116450033861.54,57059007,37092.30,
Latvia,2002,26713274658.9113,2310173.0,11563.32,
Liechtenstein,2002,,33885.0,,
Lithuania,2002,7992515420.49374,3443067.0,2321.34,
Luxembourg,2002,43449645581.9884,446175.0,97382.52,
Malta,2002,7207083524.95505,395969.0,18201.13,
Moldova,2002,4837680701.41398,2910504.0,1662.15,35.8
Monaco,2002,4607420522.33859,32804.0,140453.01,
Montenegro,2002,3088075152.53432,609828.0,5063.85,
Netherlands,2002,759096600948.749,16148929,47006.00,
North Macedonia,2002,6907839381.07181,2048930.0,3371.44,
Norway,2002,379724270302.257,4538159.0,83673.64,
Poland,2002,337791596192.75,38230364,8835.69,
Portugal,2002,227466830093.751,10419631,21830.60,
Romania,2002,122287309511.908,21730496,5627.45,
Russian Federation,2002,1047106154523.45,145306497,7206.19,37.3
San Marino,2002,1803005013.27652,28175.0,63993.08,
Serbia,2002,30064089625.5937,7496522.0,4010.41,
Slovakia,2002,60072759439.2476,5376912.0,11172.35,
Slovenia,2002,39397655486.7049,1994530.0,19752.85,
Spain,2002,1231724324368.01,41431558,29729.13,
Sweden,2002,413393644592.477,8924958.0,46318.83,
Switzerland,2002,507752011245.753,7284753.0,69700.65,31.7
Ukraine,2002,102754706789.826,48202470,2131.73,29.0
United Kingdom,2002,2222966092388.24,59370479,37442.28,35.1
Albania,2003,8283474557.11024,3039616.0,2725.17,
Andorra,2003,3244067347.20933,73180.0,44329.97,
Austria,2003,349989540825.713,8121423.0,43094.61,29.5
Belarus,2003,33005534486.7779,9796749.0,3369.03,28.8
Belgium,2003,422041352211.795,10376133,40674.24,28.1
Bosnia and Herzegovina,2003,12930805086.5843,3762179.0,3437.05,
Bulgaria,2003,37655019586.0687,7775327.0,4842.89,
Croatia,2003,53650170222.5233,4303399.0,12466.93,
Czech Republic,2003,165531443734.197,10193998,16238.13,
Denmark,2003,303256204834.651,5390574.0,56256.76,25.6
Estonia,2003,1094021262.4988,1370720.0,798.14,37.2
Faroe Islands,2003,,47439.0,,
Finland,2003,222847951217.91,5213014.0,42748.39,27.7
France,2003,2429017861520.09,62244880,39023.58,31.4
Germany,2003,3145718506754.38,82534176,38114.13,30.0
Gibraltar,2003,,32556.0,,
Greece,2003,285795416764.314,10928070,26152.41,32.8
Hungary,2003,121416660935.602,10129552,11986.38,
Iceland,2003,11367392498.1864,289521.0,39262.76,26.8
Ireland,2003,192854482587.041,3996521.0,48255.59,32.9
Italy,2003,2119384002738.32,57313203,36978.98,34.9
Latvia,2003,28966399140.5609,2287955.0,12660.39,
Liechtenstein,2003,,34172.0,,
Lithuania,2003,8837001162.14328,3415213.0,2587.54,
Luxembourg,2003,44157564394.2986,451630.0,97773.76,30.2
Malta,2003,7500705069.85747,398582.0,18818.47,
Moldova,2003,5156967629.53441,2902320.0,1776.84,34.9
Monaco,2003,4657527906.66843,33144.0,140524.01,
Montenegro,2003,3164741539.37446,612267.0,5168.89,
Netherlands,2003,760278103670.112,16225302,46857.56,
North Macedonia,2003,7061373133.6408,2053426.0,3438.83,
Norway,2003,383180162395.028,4564855.0,83941.37,27.6
Poland,2003,349608894637.35,38204570,9150.97,
Portugal,2003,225350203033.54,10458821,21546.43,38.8
Romania,2003,125150235592.491,21574326,5800.89,
Russian Federation,2003,1123544404800.4,144648618,7767.41,40.0
San Marino,2003,1872834796.90458,28561.0,65573.15,
Serbia,2003,31383228829.5405,7480591.0,4195.29,
Slovakia,2003,63376209830.9437,5373374.0,11794.49,
Slovenia,2003,40563928635.612,1995733.0,20325.33,
Spain,2003,1268453048389.63,42187645,30066.93,31.8
Sweden,2003,422942254775.017,8958229.0,47212.71,25.3
Switzerland,2003,507514147844.804,7339001.0,69153.03,
Ukraine,2003,112532765633.157,47812949,2353.60,28.7
United Kingdom,2003,2296810396769.92,59647577,38506.35,35.1
Albania,2004,8739893896.95844,3026939.0,2887.37,
Andorra,2004,3507994166.77714,76250.0,46006.48,
Austria,2004,359562175533.158,8171966.0,43999.47,29.8
Belarus,2004,36784583396.0769,9730146.0,3780.48,26.5
Belgium,2004,437113311312.751,10421137,41944.88,30.5
Bosnia and Herzegovina,2004,13719579896.7392,3764194.0,3644.76,34.0
Bulgaria,2004,40080703028.4043,7716860.0,5193.91,
Croatia,2004,55879107778.0003,4304600.0,12981.25,
Czech Republic,2004,173500559474.731,10197101,17014.69,27.5
Denmark,2004,311347745321.688,5404523.0,57608.74,24.9
Estonia,2004,1168058685.55873,1362550.0,857.26,33.6
Faroe Islands,2004,,47600.0,,
Finland,2004,231744244869.138,5228172.0,44326.06,27.9
France,2004,2497753065595.08,62704901,39833.46,30.6
Germany,2004,3182683471581.1,82516260,38570.38,30.4
Gibraltar,2004,,32930.0,,
Greece,2004,300259501159.082,10955141,27408.09,33.6
Hungary,2004,127272408583.735,10107146,12592.32,29.9
Iceland,2004,12254321874.4845,292074.0,41956.22,28.0
Ireland,2004,205934899869.232,4070262.0,50595.00,33.6
Italy,2004,2149555429590.68,57685327,37263.47,34.3
Latvia,2004,31428910218.164,2263122.0,13887.41,36.4
Liechtenstein,2004,,34444.0,,
Lithuania,2004,9417547080.17682,3377075.0,2788.67,37.0
Luxembourg,2004,45752614511.1534,458095.0,99875.82,30.2
Malta,2004,7511226168.34104,401268.0,18718.73,
Moldova,2004,5538583218.12875,2895147.0,1913.06,35.0
Monaco,2004,4772591409.25361,33499.0,142469.67,
Montenegro,2004,3304814675.89264,613353.0,5388.11,
Netherlands,2004,775369211305.076,16281779,47621.90,29.8
North Macedonia,2004,7391428039.45763,2057044.0,3593.23,
Norway,2004,398390171552.691,4591910.0,86759.14,31.6
Poland,2004,367029283985.01,38182222,9612.57,38.0
Portugal,2004,229381122523.694,10483861,21879.45,38.9
Romania,2004,138201043602.491,21451748,6442.41,
Russian Federation,2004,1204439016241.71,144067316,8360.25,40.3
San Marino,2004,1958027132.93081,28942.0,67653.48,
Serbia,2004,34216568530.7278,7463157.0,4584.73,
Slovakia,2004,66721763890.5898,5372280.0,12419.64,27.1
Slovenia,2004,42332188483.3471,1997012.0,21197.76,24.8
Spain,2004,1308064239825.59,42921895,30475.45,33.3
Sweden,2004,441284651978.437,8993531.0,49066.90,26.1
Switzerland,2004,521833802215.75,7389625.0,70617.09,
Ukraine,2004,126159098825.019,47451626,2658.69,28.9
United Kingdom,2004,2349321871594.96,59987905,39163.26,36.0
Albania,2005,9223202583.88038,3011487.0,3062.67,30.6
Andorra,2005,3697348535.06562,78871.0,46878.43,
Austria,2005,367630985634.815,8227829.0,44681.41,28.7
Belarus,2005,40242334795.7495,9663915.0,4164.19,27.6
Belgium,2005,447261933028.675,10478617,42683.30,29.3
Bosnia and Herzegovina,2005,14921313134.8433,3765332.0,3962.81,
Bulgaria,2005,42947892705.1545,7658972.0,5607.53,
Croatia,2005,58286655436.7013,4310145.0,13523.13,
Czech Republic,2005,184954402823.471,10211216,18112.87,26.9
Denmark,2005,318622825351.085,5419432.0,58792.66,25.2
Estonia,2005,1278910944.3012,1354775.0,944.00,33.4
Faroe Islands,2005,,47731.0,,
Finland,2005,238186388547.614,5246096.0,45402.60,27.6
France,2005,2539296193640.63,63179356,40191.87,29.8
Germany,2005,3205971394535.92,82469422,38874.67,32.1
Gibraltar,2005,,33222.0,,
Greece,2005,302058482456.473,10987314,27491.57,34.6
Hungary,2005,132673369639.58,10087065,13152.82,34.7
Iceland,2005,13004830338.3031,296734.0,43826.56,29.0
Ireland,2005,217748953140.018,4159914.0,52344.58,33.8
Italy,2005,2167135546609.64,57969484,37384.08,33.8
Latvia,2005,34799687961.907,2238799.0,15543.91,39.0
Liechtenstein,2005,,34718.0,,
Lithuania,2005,10145746439.6587,3322528.0,3053.62,35.3
Luxembourg,2005,47204089537.0511,465158.0,101479.69,30.8
Malta,2005,7765375534.43266,403834.0,19229.13,
Moldova,2005,5953976967.16872,2888111.0,2061.55,36.3
Monaco,2005,4863051836.13947,33842.0,143698.71,
Montenegro,2005,3442975808.70488,614261.0,5605.07,
Netherlands,2005,791271073209.597,16319868,48485.14,29.0
North Macedonia,2005,7740605651.95271,2060280.0,3757.06,
Norway,2005,408849586548.852,4623291.0,88432.59,30.6
Poland,2005,379900441083.806,38165445,9954.04,35.8
Portugal,2005,231174534737.82,10503330,22009.64,38.5
Romania,2005,144652472925.674,21319685,6784.93,
Russian Federation,2005,1281522697121.64,143518814,8929.30,41.3
San Marino,2005,2005511385.79789,29324.0,68391.47,
Serbia,2005,36108863543.5274,7440769.0,4852.84,
Slovakia,2005,71141055378.2319,5372807.0,13240.95,29.3
Slovenia,2005,43939953420.6988,2000474.0,21964.77,24.6
Spain,2005,1355835173265.27,43653155,31059.27,32.4
Sweden,2005,453900111906.39,9029572.0,50268.18,26.8
Switzerland,2005,536876383960.366,7437115.0,72188.80,
Ukraine,2005,129940465635.033,47105171,2758.52,29.0
United Kingdom,2005,2418760584175.25,60401206,40044.91,34.3
Albania,2006,9767379279.88863,2992547.0,3263.90,
Andorra,2006,3875142516.24022,80995.0,47844.22,
Austria,2006,380329113681.259,8268641.0,45996.57,29.6
Belarus,2006,44266566187.7427,9604924.0,4608.74,28.3
Belgium,2006,458677622724.361,10547958,43484.97,28.1
Bosnia and Herzegovina,2006,15729153560.7731,3765422.0,4177.26,
Bulgaria,2006,45869280338.7161,7601022.0,6034.62,35.7
Croatia,2006,61197075793.9092,4311159.0,14195.04,
Czech Republic,2006,197470142753.551,10238905,19286.26,26.7
Denmark,2006,331090561927.791,5437272.0,60892.77,25.9
Estonia,2006,1403205243.69945,1346810.0,1041.87,33.7
Faroe Islands,2006,,47793.0,,
Finland,2006,247779130164.083,5266268.0,47050.23,28.0
France,2006,2601491774613.78,63621376,40890.22,29.7
Germany,2006,3328325430555.39,82376451,40403.85,31.3
Gibraltar,2006,,33420.0,,
Greece,2006,319132136925.793,11020362,28958.41,35.1
Hungary,2006,138021450771.415,10071370,13704.34,28.3
Iceland,2006,13826344571.668,303782.0,45514.03,30.2
Ireland,2006,228618540241.807,4273591.0,53495.65,32.7
Italy,2006,2205941135644.34,58143979,37939.29,33.7
Latvia,2006,38970904830.6932,2218357.0,17567.46,35.6
Liechtenstein,2006,,34975.0,,
Lithuania,2006,10897964391.0828,3269909.0,3332.80,34.4
Luxembourg,2006,49648546045.1779,472637.0,105045.83,30.9
Malta,2006,7960297513.94763,405308.0,19640.12,28.0
Moldova,2006,6239767852.66749,2880095.0,2166.51,35.4
Monaco,2006,5145300278.40382,34189.0,150495.78,
Montenegro,2006,3737915560.04535,615025.0,6077.66,
Netherlands,2006,818656877650.488,16346101,50082.70,30.0
North Macedonia,2006,8138242511.94872,2063132.0,3944.61,
Norway,2006,418661275147.645,4660677.0,89828.43,26.4
Poland,2006,403192683978.377,38141267,10571.04,34.7
Portugal,2006,234931199934.205,10522288,22327.01,38.1
Romania,2006,156266346693.626,21193760,7373.22,39.6
Russian Federation,2006,1386608432989.65,143049637,9693.20,41.0
San Marino,2006,2082324147.78876,29694.0,70126.09,
Serbia,2006,37953228515.7138,7411569.0,5120.81,
Slovakia,2006,77183191548.8511,5373054.0,14364.86,25.8
Slovenia,2006,46464917542.2106,2006868.0,23152.95,24.4
Spain,2006,1411461390559.29,44397319,31791.59,33.5
Sweden,2006,475064446275.73,9080505.0,52316.96,26.4
Switzerland,2006,558432011619.952,7483934.0,74617.44,33.9
Ukraine,2006,139607929641.793,46787786,2983.85,29.8
United Kingdom,2006,2483917165662.06,60846820,40822.46,34.6
Albania,2007,10351466806.2388,2970017.0,3485.32,
Andorra,2007,3935330770.25056,82682.0,47595.98,
Austria,2007,394505559258.526,8295487.0,47556.65,30.6
Belarus,2007,48073493773.2612,9560953.0,5028.11,29.6
Belgium,2007,475542653709.135,10625700,44754.01,29.2
Bosnia and Herzegovina,2007,16650743291.5849,3762791.0,4425.10,33.1
Bulgaria,2007,48876966228.4417,7545338.0,6477.77,36.1
Croatia,2007,64298314188.4647,4310217.0,14917.65,
Czech Republic,2007,208469898850.69,10298828,20242.10,26.0
Denmark,2007,334100966204.774,5461438.0,61174.54,26.2
Estonia,2007,1509478087.87613,1340680.0,1125.90,31.2
Faroe Islands,2007,,47825.0,,
Finland,2007,260909780066.563,5288720.0,49333.26,28.3
France,2007,2664571088541.21,64016227,41623.37,32.4
Germany,2007,3427391543620.05,82266372,41662.12,31.3
Gibraltar,2007,,33524.0,,
Greece,2007,329579715229.25,11048473,29830.34,34.0
Hungary,2007,138355712640.943,10055780,13758.82,27.9
Iceland,2007,14995342661.6113,311566.0,48128.94,29.5
Ireland,2007,240778055809.957,4398942.0,54735.45,31.9
Italy,2007,2238745090235.33,58438310,38309.55,32.9
Latvia,2007,42878556292.9244,2200325.0,19487.37,37.5
Liechtenstein,2007,,35217.0,,
Lithuania,2007,12108453621.6011,3231294.0,3747.25,34.8
Luxembourg,2007,53796460668.8657,479993.0,112077.59,31.1
Malta,2007,8340378285.12884,406724.0,20506.24,29.2
Moldova,2007,6426960903.2039,2873429.0,2236.69,34.4
Monaco,2007,5887710460.02917,34524.0,170539.64,
Montenegro,2007,3992473234.91718,615875.0,6482.60,
Netherlands,2007,849543512429.438,16381696,51859.31,29.6
North Macedonia,2007,8665070571.39311,2065408.0,4195.33,
Norway,2007,431197048129.248,4709153.0,91565.73,27.1
Poland,2007,431664312008.755,38120560,11323.66,34.0
Portugal,2007,240819937572.726,10542964,22841.77,36.8
Romania,2007,167570353781.434,20882982,8024.25,37.5
Russian Federation,2007,1504469841529.42,142805114,10535.13,42.3
San Marino,2007,2230363289.08025,30068.0,74177.31,
Serbia,2007,40397236364.6127,7381579.0,5472.71,
Slovakia,2007,85543697111.3733,5374622.0,15916.23,24.7
Slovenia,2007,49708243481.106,2018122.0,24630.94,24.4
Spain,2007,1462340169523.89,45226803,32333.49,34.1
Sweden,2007,491402966162.082,9148092.0,53716.44,27.1
Switzerland,2007,580745403737.188,7551117.0,76908.54,34.3
Ukraine,2007,150209086270.689,46509355,3229.65,27.0
United Kingdom,2007,2542551914678.86,61322463,41462.00,35.7
Albania,2008,11127823665.7504,2947314.0,3775.58,30.0
Andorra,2008,3716558398.51518,83860.0,44318.61,
Austria,2008,400267011848.042,8321496.0,48100.37,30.4
Belarus,2008,52976989868.7029,9527985.0,5560.15,27.8
Belgium,2008,477667990477.055,10709973,44600.30,28.4
Bosnia and Herzegovina,2008,17556851230.7796,3754261.0,4676.51,
Bulgaria,2008,51851436378.6577,7492561.0,6920.39,33.6
Croatia,2008,65515772483.174,4309705.0,15201.92,
Czech Republic,2008,214070259127.502,10384603,20614.20,26.3
Denmark,2008,332390313313.103,5493621.0,60504.78,25.2
Estonia,2008,1432661648.36718,1337090.0,1071.48,31.9
Faroe Islands,2008,,47822.0,,
Finland,2008,262955299855.628,5313399.0,49489.09,27.8
France,2008,2671364304886.08,64374979,41496.93,33.0
Germany,2008,3460290359872.83,82110097,42142.08,31.1
Gibraltar,2008,,33570.0,,
Greece,2008,328475055055.053,11077841,29651.54,33.6
Hungary,2008,139819916274.643,10038188,13928.80,27.5
Iceland,2008,15326664220.7095,317414.0,48286.04,31.8
Ireland,2008,230091285255.947,4489544.0,51250.48,30.9
Italy,2008,2217208074999.43,58826731,37690.49,33.8
Latvia,2008,41451858072.2391,2177322.0,19038.00,37.2
Liechtenstein,2008,,35469.0,,
Lithuania,2008,12425019822.0591,3198231.0,3884.97,35.7
Luxembourg,2008,53108088559.7831,488650.0,108683.29,32.6
Malta,2008,8659511134.94235,409379.0,21152.80,29.0
Moldova,2008,6928263862.95101,2867964.0,2415.74,34.7
Monaco,2008,5926971761.89845,34860.0,170022.14,
Montenegro,2008,4280841227.25932,616969.0,6938.50,
Netherlands,2008,867981366402.608,16445593,52778.96,29.3
North Macedonia,2008,9139223353.51773,2067309.0,4420.83,
Norway,2008,433251184624.934,4768212.0,90862.40,27.0
Poland,2008,449794050343.249,38125759,11797.64,33.5
Portugal,2008,241588750226.565,10558177,22881.67,36.6
Romania,2008,183166909447.59,20537875,8918.49,36.4
Russian Federation,2008,1582701810889.97,142742366,11087.82,41.6
San Marino,2008,2219190523.69976,30434.0,72918.14,
Serbia,2008,42681933020.219,7350222.0,5806.89,
Slovakia,2008,90312661014.7879,5379233.0,16789.13,26.0
Slovenia,2008,51452924048.1751,2021316.0,25455.16,23.7
Spain,2008,1475313249889.36,45954106,32104.06,34.2
Sweden,2008,489188904610.127,9219637.0,53059.45,28.1
Switzerland,2008,596747909749.776,7647675.0,78029.98,33.8
Ukraine,2008,153669941036.719,46258189,3322.01,26.6
United Kingdom,2008,2535463784367.3,61806995,41022.28,34.1
Albania,2009,11500613161.6647,2927519.0,3928.45,
Andorra,2009,3519475009.94299,84461.0,41669.82,
Austria,2009,385198647266.611,8343323.0,46168.49,31.5
Belarus,2009,53082941363.8271,9506765.0,5583.70,27.7
Belgium,2009,468015547701.557,10796493,43348.85,28.6
Bosnia and Herzegovina,2009,17029363372.8317,3735945.0,4558.25,
Bulgaria,2009,50101534229.7147,7444443.0,6730.06,33.8
Croatia,2009,60717700435.3099,4305181.0,14103.40,32.6
Czech Republic,2009,204100298391.036,10443936,19542.47,26.2
Denmark,2009,316081423941.657,5523095.0,57229.04,26.7
Estonia,2009,1225873125.80184,1334515.0,918.59,31.4
Faroe Islands,2009,,47814.0,,
Finland,2009,241723112398.309,5338871.0,45276.07,27.5
France,2009,2594607624904.28,64707035,40097.77,32.7
Germany,2009,3263267090017.34,81902307,39843.41,30.5
Gibraltar,2009,,33562.0,,
Greece,2009,314348217058.93,11107017,28301.77,33.6
Hungary,2009,130452605289.135,10022650,13015.78,27.0
Iceland,2009,14152057862.8939,318499.0,44433.60,28.7
Ireland,2009,218414850981.939,4535375.0,48158.06,32.7
Italy,2009,2100118708781.5,59095365,35537.79,33.8
Latvia,2009,35540939762.4485,2141669.0,16594.97,36.0
Liechtenstein,2009,,35723.0,,
Lithuania,2009,10581319790.3218,3162916.0,3345.43,37.2
Luxembourg,2009,50793315934.8984,497783.0,102039.07,31.2
Malta,2009,8561323235.70686,412477.0,20755.88,30.2
Moldova,2009,6512568011.12431,2864346.0,2273.67,32.9
Monaco,2009,5257223916.21371,35223.0,149255.43,
Montenegro,2009,4032762450.51021,618294.0,6522.40,
Netherlands,2009,836153497098.728,16530388,50582.81,27.9
North Macedonia,2009,9106448740.75946,2069030.0,4401.31,42.8
Norway,2009,425768848675.368,4828726.0,88174.16,26.2
Poland,2009,462533048121.248,38151603,12123.55,33.4
Portugal,2009,234046157573.901,10568247,22146.17,34.9
Romania,2009,173060868628.322,20367487,8496.92,35.6
Russian Federation,2009,1459251165972.78,142785349,10219.89,39.8
San Marino,2009,1990148833.39972,30825.0,64562.82,
Serbia,2009,41515968465.9198,7320807.0,5670.96,
Slovakia,2009,85385623781.6126,5386406.0,15852.06,27.2
Slovenia,2009,47569032084.5723,2039669.0,23321.94,24.8
Spain,2009,1419793790647.73,46362946,30623.46,34.9
Sweden,2009,467959130636.214,9298515.0,50326.22,27.3
Switzerland,2009,584337741980.175,7743831.0,75458.48,32.9
Ukraine,2009,130990467246.875,46053331,2844.32,25.3
United Kingdom,2009,2431156088971.62,62276270,39038.24,34.3
Albania,2010,11926928505.5231,2913021.0,4094.35,
Andorra,2010,3449966856.68832,84454.0,40850.25,
Austria,2010,392275107258.667,8363404.0,46903.76,30.3
